                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7791,                 4.1226,                 4.1992,                0.00028,                0.00999,                0.00014,                  5e-05,                 5.1277,                 4.2891,                 4.1233,             0.00064865,             0.00064865,             0.00064865
                      2,                 3.6343,                 3.1906,                 3.4201,                0.00025,                0.00882,                0.00013,                  4e-05,                 5.5151,                  4.322,                 4.5954,              0.0013023,              0.0013023,              0.0013023
                      3,                 3.0616,                 2.3531,                 2.4424,                0.04516,                0.07466,                0.01152,                0.00365,                 3.4633,                 6.0445,                 3.0575,              0.0019427,              0.0019427,              0.0019427
                      4,                  2.808,                 2.0963,                 2.1032,                0.21421,                0.24439,                0.13062,                0.03421,                 3.0073,                 2.3683,                 2.3548,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6735,                 1.9116,                 1.9155,                0.33671,                0.28807,                0.21457,                0.06111,                 2.9175,                 2.0175,                 2.2347,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.6064,                 1.7824,                 1.8349,                0.53938,                0.41858,                0.44397,                0.15954,                 2.3868,                  1.758,                 1.9055,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.5236,                 1.7641,                 1.8204,                 0.5345,                 0.4894,                 0.4713,                0.16221,                 2.2988,                    1.7,                 1.7965,               0.001901,               0.001901,               0.001901
                      8,                 2.4813,                 1.6824,                  1.778,                0.57851,                0.45738,                0.48358,                0.18282,                 2.2312,                 1.6403,                  1.815,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.4346,                 1.6246,                 1.7482,                0.63466,                0.50911,                0.53504,                 0.1957,                 2.2515,                 1.5284,                 1.7603,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.4051,                 1.5834,                 1.7133,                0.64273,                0.53498,                0.55729,                0.21137,                 2.1878,                 1.5048,                 1.7288,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.3727,                 1.5705,                 1.7267,                 0.4856,                0.47149,                0.44666,                0.18224,                 2.1678,                 1.5674,                 1.7428,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.3129,                 1.5353,                 1.6643,                0.62736,                0.48854,                0.54935,                0.19714,                 2.2245,                 1.5059,                 1.7542,               0.001802,               0.001802,               0.001802
                     13,                 2.3492,                 1.5469,                 1.7127,                0.64338,                0.48894,                0.52971,                0.19759,                 2.2679,                 1.4634,                  1.762,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.3609,                 1.5011,                  1.649,                0.63481,                0.55026,                0.58527,                0.22705,                 2.2012,                 1.4474,                 1.7381,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.2858,                 1.4452,                 1.6327,                0.67261,                0.55262,                 0.6044,                0.24691,                 2.1434,                   1.35,                 1.6911,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.2456,                 1.4076,                 1.6068,                0.68999,                0.54909,                0.60181,                0.25537,                 2.0921,                 1.3982,                 1.6822,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.2542,                 1.4055,                 1.6164,                0.67902,                0.54615,                0.58727,                0.24285,                 2.1301,                 1.3674,                 1.6895,               0.001703,               0.001703,               0.001703
                     18,                 2.2303,                 1.3892,                 1.5887,                0.69569,                0.55379,                0.62859,                0.26006,                 2.0698,                  1.381,                 1.6532,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.2362,                 1.3886,                  1.568,                0.70256,                0.55438,                0.61315,                0.26262,                  2.101,                 1.3268,                 1.6705,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.2333,                 1.4331,                 1.6397,                0.71421,                 0.6067,                0.65462,                  0.275,                 2.0575,                 1.3066,                  1.633,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.2215,                 1.3503,                 1.5869,                0.65667,                0.61787,                0.61952,                0.27172,                 2.0366,                 1.2886,                 1.6222,              0.0016238,              0.0016238,              0.0016238
                     22,                  2.169,                 1.3319,                 1.5805,                0.69608,                0.54086,                 0.6105,                0.26494,                 2.0631,                 1.3983,                 1.6459,               0.001604,               0.001604,               0.001604
                     23,                 2.2229,                 1.3385,                   1.56,                0.67826,                0.60435,                0.63631,                0.27226,                  2.039,                  1.304,                  1.622,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.1429,                 1.3142,                 1.5667,                0.72732,                0.57848,                0.63283,                0.27346,                 2.0571,                 1.2612,                 1.6432,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.1702,                  1.314,                 1.6036,                 0.7093,                0.58319,                0.64583,                0.26967,                 2.0831,                 1.2826,                 1.6471,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.1568,                 1.2851,                 1.5515,                0.71384,                0.57554,                0.62361,                0.26844,                 2.0723,                 1.2712,                 1.6418,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.1395,                  1.266,                 1.5556,                0.68813,                0.60188,                0.63811,                0.27261,                 2.0657,                  1.279,                 1.6243,               0.001505,               0.001505,               0.001505
                     28,                 2.1662,                 1.2765,                 1.5308,                0.71368,                0.57149,                0.62627,                0.27306,                 2.0663,                 1.2531,                 1.6375,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.1289,                 1.3438,                  1.546,                0.69565,                0.60141,                0.64876,                0.28837,                 1.9676,                 1.2551,                 1.5931,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.1213,                 1.2757,                 1.5239,                0.72401,                0.54027,                0.59116,                0.26005,                 2.0471,                 1.3453,                 1.6454,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.1169,                 1.2412,                 1.5268,                0.68188,                0.60259,                0.63621,                 0.2783,                 2.0333,                 1.2405,                 1.6171,              0.0014258,              0.0014258,              0.0014258
