                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9584,                  4.103,                  4.153,                0.00095,                 0.0341,                0.00051,                0.00019,                 4.0884,                 4.4455,                  4.162,             0.00064865,             0.00064865,             0.00064865
                      2,                 3.0276,                 3.1429,                  3.281,                0.00127,                0.04586,                0.00069,                0.00026,                  4.266,                 4.4713,                 4.4102,              0.0013023,              0.0013023,              0.0013023
                      3,                 2.7836,                 2.5232,                 2.6282,                0.07778,                0.07466,                0.01558,                0.00464,                 2.9756,                 4.5338,                 3.2908,              0.0019427,              0.0019427,              0.0019427
                      4,                 2.6538,                 2.2455,                 2.3854,                0.12643,                 0.2234,                0.05959,                0.02003,                 2.6688,                 3.9303,                 2.7882,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.5509,                 2.0533,                 2.2262,                0.38238,                0.40506,                0.29105,                0.10649,                 2.3352,                 2.2522,                 2.3459,              0.0019406,              0.0019406,              0.0019406
                      6,                 2.4867,                 1.8781,                 2.1403,                0.23953,                0.44092,                0.17607,                0.06576,                 2.3145,                 2.6112,                 2.2754,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.4404,                 1.9036,                 2.1511,                0.52233,                0.44738,                0.45061,                0.16362,                 2.2318,                 1.9123,                 2.1846,               0.001901,               0.001901,               0.001901
                      8,                 2.3968,                   1.81,                 2.0711,                0.55643,                0.47031,                0.49775,                0.18541,                 2.1754,                  1.829,                 2.1256,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.3558,                 1.7468,                 2.0365,                0.62992,                0.49232,                0.53007,                0.20925,                 2.2205,                 1.6389,                 2.1364,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.3556,                 1.6996,                 2.0138,                0.63948,                  0.495,                 0.5446,                 0.2064,                 2.1677,                 1.6616,                 2.0997,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.3097,                 1.6575,                 2.0066,                0.57779,                0.49912,                 0.5042,                0.20068,                 2.1705,                 1.7284,                 2.1372,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.2755,                 1.6214,                 1.9369,                0.60856,                0.51146,                0.52951,                0.21645,                 2.1165,                 1.6178,                 2.0759,               0.001802,               0.001802,               0.001802
                     13,                 2.2778,                 1.6126,                 1.9998,                0.58651,                0.51264,                0.50726,                0.20371,                 2.1537,                 1.6103,                  2.086,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.2774,                  1.589,                 1.9207,                0.59955,                0.53251,                0.50804,                0.20748,                 2.2351,                 1.5758,                 2.1339,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.2244,                 1.5531,                 1.8971,                0.58093,                0.56143,                0.55398,                0.23976,                 2.0214,                 1.5381,                 1.9749,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.2068,                 1.4967,                 1.8778,                 0.5872,                0.54615,                0.57081,                0.24872,                 2.0559,                 1.4951,                 2.0056,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.2235,                 1.5048,                 1.8986,                0.67532,                 0.5527,                0.60731,                0.25919,                 2.0798,                 1.4543,                 2.0127,               0.001703,               0.001703,               0.001703
                     18,                 2.1926,                 1.4869,                 1.8589,                0.67407,                0.57496,                0.63103,                 0.2619,                 2.0724,                 1.4712,                 1.9862,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.2042,                 1.4921,                  1.846,                 0.6365,                 0.5726,                  0.616,                0.26555,                 2.0311,                 1.5229,                 1.9557,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.1733,                 1.5786,                 1.8941,                0.66754,                0.57485,                0.61088,                 0.2691,                 2.0386,                 1.4371,                 1.9439,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.1725,                 1.4433,                 1.8437,                0.68147,                0.54733,                0.61769,                0.27158,                 2.0352,                 1.4535,                 1.9427,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.1289,                 1.4593,                 1.8566,                0.65949,                0.54615,                0.59736,                0.26098,                 2.0604,                 1.5013,                 1.9781,               0.001604,               0.001604,               0.001604
                     23,                  2.184,                 1.4653,                  1.816,                 0.6891,                0.53425,                0.61356,                0.26959,                  1.992,                 1.4457,                 1.9272,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.1173,                 1.4358,                 1.8222,                0.64784,                0.54086,                0.56832,                 0.2563,                 2.0616,                 1.4381,                 1.9792,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.1269,                 1.4253,                 1.8581,                  0.676,                0.59259,                0.64147,                0.28234,                 2.0305,                 1.4133,                 1.9422,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.1207,                 1.3941,                 1.8223,                0.66591,                0.58142,                0.61879,                0.28239,                 1.9642,                 1.3747,                 1.9254,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.0999,                 1.4052,                 1.8072,                0.68751,                0.57946,                0.64091,                0.28567,                 2.0108,                  1.391,                 1.9164,               0.001505,               0.001505,               0.001505
                     28,                 2.1268,                 1.3981,                 1.7985,                0.66881,                 0.5378,                0.60633,                0.27775,                  2.002,                 1.3994,                 1.9372,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.1071,                 1.4381,                 1.8011,                0.71798,                0.54497,                 0.6146,                0.27163,                 2.0472,                 1.4005,                 1.9679,              0.0014654,              0.0014654,              0.0014654
                     30,                  2.106,                 1.3669,                 1.7931,                 0.7285,                0.56472,                0.63833,                0.29198,                  1.996,                 1.3441,                 1.9244,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.1185,                 1.3582,                 1.7938,                0.73186,                0.59083,                0.65483,                  0.291,                 1.9812,                 1.3648,                 1.8972,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.0528,                 1.2979,                 1.7232,                0.72817,                0.58741,                0.66112,                0.29744,                 1.9692,                 1.3439,                  1.895,               0.001406,               0.001406,               0.001406
                     33,                 2.0499,                 1.3001,                 1.7556,                0.70055,                0.58726,                0.65178,                0.29845,                  1.964,                 1.3426,                 1.8634,              0.0013862,              0.0013862,              0.0013862
                     34,                 2.1025,                 1.3291,                 1.7548,                0.73648,                0.58436,                0.66436,                0.29785,                 1.9751,                 1.3299,                 1.9059,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.0868,                 1.3094,                 1.7613,                0.70634,                0.60317,                0.64848,                0.29485,                 2.0009,                 1.3436,                 1.9202,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.0591,                 1.3802,                 1.7738,                0.74076,                0.60082,                0.67382,                0.30316,                 1.9538,                 1.3664,                 1.8823,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.0675,                 1.5741,                 1.7853,                0.66912,                0.55732,                0.60985,                 0.2841,                 1.9903,                  1.368,                 1.9269,               0.001307,               0.001307,               0.001307
                     38,                 2.0461,                 1.2926,                 1.7794,                0.72007,                0.59431,                0.67005,                0.30268,                 1.9309,                  1.347,                 1.8685,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.0646,                  1.316,                 1.7728,                0.73704,                0.59813,                0.67618,                0.30399,                 1.9583,                 1.3117,                 1.8737,              0.0012674,              0.0012674,              0.0012674
                     40,                  2.022,                 1.2812,                 1.7387,                0.76949,                0.59073,                0.68354,                0.31327,                 1.9627,                 1.3238,                 1.8863,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.0291,                 1.2893,                  1.742,                0.74619,                0.58937,                0.65534,                0.29223,                   2.01,                 1.3116,                 1.9235,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.0507,                  1.265,                 1.7247,                0.76065,                 0.5779,                0.65883,                0.30873,                 1.9675,                 1.2804,                 1.8974,               0.001208,               0.001208,               0.001208
                     43,                 2.0645,                  1.388,                 1.7755,                0.74078,                0.58128,                0.67692,                0.31264,                 1.9396,                  1.348,                 1.8744,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.0138,                 1.2766,                 1.7327,                0.73223,                0.56849,                  0.649,                 0.3077,                 1.9315,                 1.3304,                 1.8641,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.0551,                 1.2343,                 1.7385,                0.73506,                0.58718,                0.66265,                0.30417,                 1.9464,                 1.3274,                 1.8652,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.0089,                 1.2335,                 1.7051,                0.72394,                0.55673,                0.63499,                0.29299,                 2.0192,                 1.3339,                 1.9053,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.0316,                 1.2861,                 1.7477,                0.72161,                0.59612,                0.65623,                0.29734,                 1.9931,                 1.3032,                 1.8851,               0.001109,               0.001109,               0.001109
                     48,                      2,                 1.2332,                 1.7091,                0.75903,                0.59847,                 0.6775,                0.30791,                   1.97,                 1.2783,                 1.8767,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.9788,                 1.2211,                 1.6999,                0.73225,                0.58965,                0.65492,                0.30285,                 1.9814,                 1.3353,                 1.8784,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.0215,                 1.2291,                 1.6992,                 0.7668,                0.61085,                 0.6922,                0.31895,                 1.9375,                 1.2671,                 1.8545,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.9935,                 1.2157,                 1.7045,                0.76283,                0.60697,                0.67851,                0.31517,                 1.9486,                 1.2745,                 1.8662,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.0041,                 1.2201,                 1.7142,                0.77959,                 0.5947,                0.68536,                0.32631,                 1.9162,                  1.288,                 1.8523,                0.00101,                0.00101,                0.00101
                     53,                 1.9836,                   1.22,                   1.69,                0.77364,                0.57496,                0.67043,                0.31151,                 1.9701,                 1.3017,                 1.8842,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.9699,                 1.1862,                 1.6918,                0.75373,                0.58657,                0.66978,                 0.3105,                 1.9477,                 1.3075,                 1.8611,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.9714,                 1.1863,                 1.6882,                 0.7182,                0.57143,                0.63672,                 0.3065,                 1.9821,                 1.3263,                 1.9038,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.9911,                 1.2085,                 1.6965,                0.72421,                0.62551,                0.66459,                0.30943,                 1.9536,                 1.2617,                 1.8552,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.9491,                 1.1984,                 1.6881,                0.75198,                0.57672,                0.66137,                0.30285,                 1.9749,                 1.3533,                 1.8631,               0.000911,               0.000911,               0.000911
                     58,                 1.9607,                 1.1756,                 1.6551,                0.76929,                0.59259,                 0.6739,                0.31682,                 1.9352,                 1.2594,                 1.8457,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.9846,                 1.1995,                 1.7025,                 0.7464,                0.59318,                0.66472,                0.31587,                 1.9454,                 1.2747,                 1.8736,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.9364,                 1.1991,                 1.7028,                 0.7724,                0.60317,                0.68332,                0.31738,                 1.9548,                 1.2395,                 1.8634,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.9746,                 1.1633,                 1.6467,                 0.7768,                0.62405,                0.69925,                0.31941,                 1.9434,                 1.2337,                 1.8599,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.9619,                 1.3397,                 1.6789,                0.77792,                0.63904,                0.71321,                0.32685,                  1.925,                 1.2078,                 1.8385,               0.000812,               0.000812,               0.000812
                     63,                 1.9889,                 1.1953,                 1.6859,                0.72867,                0.59671,                0.64775,                0.31021,                 1.9278,                 1.2813,                 1.8365,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.9081,                   1.45,                  1.611,                0.75927,                0.60024,                0.67709,                0.31676,                 1.9559,                 1.2493,                 1.8604,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.9391,                 1.1544,                  1.656,                0.77796,                0.62823,                0.70864,                0.32421,                 1.9157,                 1.2379,                 1.8197,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.9362,                 1.1751,                 1.6847,                0.75519,                0.65785,                0.71266,                0.32605,                  1.962,                 1.1874,                 1.8559,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.9992,                 1.1904,                 1.7038,                0.72951,                0.58083,                0.65208,                0.30388,                  1.951,                 1.2818,                 1.8686,               0.000713,               0.000713,               0.000713
                     68,                 1.9438,                 1.1589,                 1.6734,                0.74144,                0.60729,                0.67581,                0.32544,                 1.9117,                 1.2276,                 1.8317,              0.0006932,              0.0006932,              0.0006932
                     69,                  1.942,                 1.1669,                  1.652,                0.77116,                0.61141,                0.69807,                0.32033,                 1.9337,                 1.2554,                 1.8316,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.9109,                 1.1533,                 1.6295,                0.75062,                 0.5928,                0.67073,                 0.3224,                 1.9166,                 1.2606,                 1.8415,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.9607,                 1.1559,                 1.6368,                0.75202,                0.55908,                0.64897,                0.31051,                 1.9389,                 1.2888,                 1.8518,              0.0006338,              0.0006338,              0.0006338
                     72,                  1.927,                 1.1497,                 1.6248,                0.77317,                0.60115,                0.68023,                0.32004,                 1.9389,                 1.2717,                 1.8538,               0.000614,               0.000614,               0.000614
                     73,                 1.9608,                 1.1684,                 1.6767,                 0.7621,                0.63786,                0.70957,                0.33293,                 1.8877,                  1.217,                 1.8034,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.9632,                 1.1689,                 1.6783,                0.76807,                0.60611,                 0.6895,                0.32643,                 1.9095,                 1.2191,                 1.8298,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.9311,                 1.1498,                 1.6268,                 0.7836,                0.59818,                0.68505,                0.32339,                 1.9297,                 1.2595,                 1.8344,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.8781,                 1.0959,                 1.6337,                0.77398,                0.59436,                0.67758,                0.31781,                 1.9624,                 1.2772,                 1.8815,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.9271,                  1.117,                 1.6326,                0.76335,                0.61611,                0.68594,                0.31886,                 1.9429,                  1.208,                  1.849,               0.000515,               0.000515,               0.000515
                     78,                 1.9106,                 1.1315,                 1.6377,                0.76346,                0.62904,                0.70144,                0.32433,                 1.9371,                 1.2122,                 1.8434,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.9087,                 1.1036,                 1.6319,                0.78607,                0.61905,                0.69774,                0.32431,                 1.9424,                 1.2067,                 1.8385,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.9378,                 1.1261,                 1.6357,                 0.7602,                0.60197,                0.67586,                 0.3198,                 1.9382,                  1.222,                  1.859,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.8711,                 1.0892,                 1.6207,                0.76661,                0.62022,                0.68945,                0.32494,                 1.9517,                 1.2043,                 1.8525,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.9164,                  1.107,                  1.637,                0.75503,                0.61064,                 0.6837,                0.32623,                 1.9207,                 1.2293,                 1.8449,               0.000416,               0.000416,               0.000416
                     83,                 1.9135,                 1.1079,                 1.6372,                0.76956,                0.61376,                 0.6923,                0.32773,                 1.9209,                 1.1969,                  1.842,              0.0003962,              0.0003962,              0.0003962
                     84,                  1.857,                 1.0709,                 1.6085,                0.78779,                0.61787,                0.70581,                0.32966,                   1.93,                  1.185,                 1.8439,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.9147,                 1.0794,                 1.6378,                0.79783,                0.59161,                0.68748,                 0.3205,                 1.9391,                 1.2119,                 1.8492,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.9027,                    1.1,                 1.6474,                0.76404,                0.62199,                0.69958,                0.32691,                 1.9419,                 1.1916,                 1.8482,              0.0003368,              0.0003368,              0.0003368
                     87,                  1.892,                 1.0672,                 1.6127,                0.78125,                0.61199,                0.69123,                0.32424,                 1.9341,                 1.2356,                 1.8431,               0.000317,               0.000317,               0.000317
                     88,                 1.8915,                 1.1074,                  1.605,                0.78801,                0.60847,                0.69955,                0.32605,                 1.9354,                 1.2131,                  1.845,              0.0002972,              0.0002972,              0.0002972
                     89,                   1.85,                  1.073,                  1.603,                0.76638,                0.59592,                0.67195,                 0.3189,                 1.9535,                 1.2204,                 1.8616,              0.0002774,              0.0002774,              0.0002774
