                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6589,                 4.4323,                 4.2709,                0.00025,                0.00882,                0.00013,                  4e-05,                 5.1476,                 4.4336,                 4.1538,                0.00036,                0.00036,                0.00036
                      2,                 4.0594,                 3.8382,                 3.8452,                0.00027,                0.00941,                0.00014,                  4e-05,                 5.1939,                  4.353,                 4.1995,             0.00073267,             0.00073267,             0.00073267
                      3,                 3.0544,                 2.8305,                 2.8281,                0.00048,                0.00705,                0.00024,                  6e-05,                 5.4224,                 4.6104,                 4.4916,              0.0010978,              0.0010978,              0.0010978
                      4,                  2.836,                 2.3957,                 2.3892,                0.00051,                0.00647,                0.00026,                  7e-05,                  5.118,                 4.1923,                 4.1462,              0.0014555,              0.0014555,              0.0014555
                      5,                 2.7002,                 2.1559,                 2.1365,                0.00072,                0.01293,                0.00036,                 0.0001,                 4.9957,                  4.057,                 4.0752,              0.0018056,              0.0018056,              0.0018056
                      6,                 2.5919,                 1.9873,                 1.9884,                0.04153,                0.12816,                0.01953,                0.00701,                 3.0461,                 3.5524,                 2.5322,               0.001901,               0.001901,               0.001901
                      7,                 2.5157,                 1.8296,                 1.8856,                0.12461,                 0.2381,                 0.0781,                0.02536,                 2.8617,                 3.6728,                  2.189,               0.001901,               0.001901,               0.001901
                      8,                 2.4744,                 1.7132,                 1.8441,                0.48095,                0.37801,                0.35901,                0.11361,                 2.5116,                   1.76,                 1.9397,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.3875,                 1.6289,                 1.7778,                0.32672,                0.43621,                0.21906,                0.07461,                  2.371,                 2.5149,                 1.8447,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.3174,                 1.6167,                 1.7957,                0.51695,                0.44738,                0.40164,                 0.1417,                 2.4006,                 1.7665,                  1.838,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.3826,                 1.6604,                 1.8324,                0.49098,                0.43092,                 0.3914,                0.14478,                 2.3135,                  1.792,                 1.8503,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.3476,                 1.5765,                 1.7513,                0.59362,                0.45561,                0.46981,                0.17943,                  2.306,                 1.6013,                 1.8173,               0.001802,               0.001802,               0.001802
                     13,                 2.4013,                 1.6598,                 1.8261,                0.63761,                0.54968,                0.56092,                0.20886,                  2.221,                 1.5881,                 1.7155,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.2682,                 1.4692,                 1.7241,                 0.6017,                0.52664,                0.55323,                0.20823,                 2.1372,                 1.5866,                  1.679,              0.0017624,              0.0017624,              0.0017624
                     15,                 2.3421,                 1.5529,                 1.8227,                 0.6215,                0.51734,                0.54477,                0.21151,                 2.1845,                 1.5149,                 1.7195,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.2602,                 1.4415,                 1.6744,                0.62971,                0.51387,                0.55365,                0.21022,                 2.1883,                 1.4778,                 1.6976,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.2452,                 1.4045,                 1.6757,                0.70571,                0.55545,                 0.6247,                0.24176,                 2.1288,                 1.3844,                 1.6837,               0.001703,               0.001703,               0.001703
                     18,                 2.2401,                 1.4016,                  1.695,                0.70581,                 0.5543,                0.61204,                0.25077,                 2.1147,                  1.348,                 1.6482,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.1679,                 1.3575,                 1.6349,                0.65409,                0.53733,                0.58896,                0.23977,                 2.0904,                 1.4242,                 1.6281,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.2801,                 1.4082,                  1.628,                0.58661,                0.51852,                0.54439,                0.21136,                 2.1419,                 1.4715,                 1.6622,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.1796,                 1.3899,                 1.6365,                0.67659,                0.54027,                0.59897,                0.26013,                 2.0452,                 1.3417,                 1.6169,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.2282,                 1.3621,                 1.6296,                0.60613,                0.53086,                0.56767,                0.24541,                 2.0018,                 1.3643,                  1.605,               0.001604,               0.001604,               0.001604
                     23,                 2.1179,                 1.3369,                 1.6155,                0.63144,                0.58377,                0.63622,                0.27398,                 2.0249,                 1.3177,                 1.6054,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.1788,                 1.3673,                 1.6747,                 0.6297,                0.59484,                0.60668,                0.24616,                  2.105,                 1.3052,                 1.6509,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.1176,                 1.3131,                 1.6477,                0.70287,                0.61328,                 0.6414,                0.28207,                 1.9678,                 1.2772,                 1.5715,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.1384,                  1.277,                  1.628,                0.72878,                0.58605,                0.66126,                0.28843,                 2.0142,                  1.243,                    1.6,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.0908,                 1.3132,                 1.6442,                0.68187,                0.55569,                0.60254,                0.26441,                 2.0678,                 1.2957,                  1.636,               0.001505,               0.001505,               0.001505
                     28,                 2.1864,                 1.3132,                 1.6147,                0.60467,                0.50534,                0.52491,                0.23294,                  2.185,                 1.4009,                 1.7263,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.1152,                 1.2605,                 1.6448,                0.71292,                  0.546,                0.62016,                0.28087,                 1.9816,                  1.332,                 1.5823,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.1632,                  1.317,                 1.5914,                0.72869,                0.61493,                0.67934,                0.29707,                  2.014,                 1.2507,                 1.5793,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.0937,                 1.2548,                  1.617,                 0.7399,                0.59612,                0.67131,                0.29442,                 1.9925,                 1.2324,                 1.5756,              0.0014258,              0.0014258,              0.0014258
