                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5866,                 4.2687,                 4.1454,                 0.0006,                0.02175,                0.00056,                0.00015,                 3.5593,                 4.5963,                 4.1537,             0.00064865,             0.00064865,             0.00064865
                      2,                 2.8483,                  3.428,                 3.3776,                0.00131,                0.04703,                0.00074,                0.00024,                 3.6085,                 4.0936,                 4.2613,              0.0013066,              0.0013066,              0.0013066
                      3,                 2.7132,                 2.7852,                 2.7832,                0.07909,                0.03233,                0.01709,                0.00667,                 2.9281,                 4.0464,                 3.6105,              0.0019558,              0.0019558,              0.0019558
                      4,                 2.6238,                 2.5623,                 2.5988,                0.23578,                0.22346,                   0.14,                0.04695,                  2.514,                 4.6778,                 2.7134,              0.0019604,              0.0019604,              0.0019604
                      5,                 2.5485,                 2.3212,                 2.4254,                0.08769,                 0.2522,                0.05878,                0.02033,                  2.441,                 3.9487,                 2.6948,              0.0019604,              0.0019604,              0.0019604
                      6,                  2.488,                 2.1274,                 2.3409,                0.36561,                0.34509,                0.28109,                 0.1041,                 2.2938,                 2.8877,                 2.4011,              0.0019472,              0.0019472,              0.0019472
                      7,                  2.416,                 2.0756,                 2.3005,                0.35167,                0.39741,                0.30548,                0.12233,                 2.2178,                 2.8797,                 2.3377,               0.001934,               0.001934,               0.001934
                      8,                 2.3814,                 1.9485,                 2.2503,                0.45677,                 0.4221,                0.39844,                 0.1392,                 2.2205,                 2.2755,                 2.2714,              0.0019208,              0.0019208,              0.0019208
                      9,                 2.3588,                 1.9149,                 2.2324,                0.55112,                0.46339,                 0.4549,                 0.1728,                 2.2198,                 1.8805,                 2.2944,              0.0019076,              0.0019076,              0.0019076
                     10,                 2.3258,                 1.8375,                 2.1738,                0.60145,                0.49415,                0.52167,                0.20965,                 2.1431,                 1.7737,                 2.2312,              0.0018944,              0.0018944,              0.0018944
                     11,                 2.2787,                 1.7997,                 2.1407,                0.54151,                0.48442,                0.49561,                0.20745,                 2.1024,                  1.747,                 2.1889,              0.0018812,              0.0018812,              0.0018812
                     12,                 2.2172,                 1.7109,                 2.0605,                0.51692,                0.47325,                0.46706,                0.19742,                 2.1173,                 1.8027,                  2.187,               0.001868,               0.001868,               0.001868
                     13,                 2.2406,                 1.7154,                 2.1078,                0.58699,                0.49265,                0.51417,                0.21273,                 2.1194,                 1.7332,                  2.193,              0.0018548,              0.0018548,              0.0018548
                     14,                 2.2378,                 1.7049,                 2.0559,                0.51756,                0.46356,                0.46779,                 0.1953,                 2.1945,                 1.7862,                 2.2555,              0.0018416,              0.0018416,              0.0018416
                     15,                  2.202,                 1.6531,                 2.0489,                0.60763,                0.53987,                0.57958,                0.25907,                 2.0127,                 1.5584,                 2.0861,              0.0018284,              0.0018284,              0.0018284
                     16,                 2.1806,                 1.6237,                  2.023,                0.61288,                0.51655,                 0.5762,                0.24988,                 2.0205,                 1.6454,                 2.0955,              0.0018152,              0.0018152,              0.0018152
                     17,                 2.1748,                 1.6114,                 2.0057,                0.60953,                 0.5338,                0.57449,                0.25149,                 2.0293,                 1.6448,                 2.0776,               0.001802,               0.001802,               0.001802
                     18,                 2.1521,                 1.5654,                 1.9818,                0.64097,                0.51029,                0.55706,                0.24952,                  2.033,                  1.757,                 2.0792,              0.0017888,              0.0017888,              0.0017888
                     19,                 2.1842,                 1.6086,                 1.9901,                0.61165,                0.50735,                 0.5492,                0.24541,                 2.0419,                 1.7073,                 2.0954,              0.0017756,              0.0017756,              0.0017756
                     20,                 2.1855,                 1.6642,                 2.0446,                0.64987,                0.54887,                 0.5979,                0.26115,                 2.0401,                 1.5358,                 2.0811,              0.0017624,              0.0017624,              0.0017624
                     21,                 2.1385,                 1.5219,                 1.9584,                0.64889,                0.55953,                0.60265,                0.26129,                 2.0608,                 1.5339,                 2.0789,              0.0017492,              0.0017492,              0.0017492
                     22,                 2.1136,                 1.5594,                 1.9849,                0.62979,                0.53616,                0.57148,                0.24273,                  2.028,                 1.6077,                 2.0674,               0.001736,               0.001736,               0.001736
                     23,                  2.152,                 1.5685,                 1.9364,                0.61088,                0.53733,                0.58181,                0.25902,                 1.9844,                 1.5501,                 2.0219,              0.0017228,              0.0017228,              0.0017228
                     24,                 2.1067,                 1.5212,                 1.9458,                0.66141,                 0.5532,                0.61631,                0.27709,                 2.0129,                  1.492,                   2.06,              0.0017096,              0.0017096,              0.0017096
                     25,                 2.1032,                 1.5212,                 1.9634,                0.66197,                0.51911,                0.59142,                0.25945,                 2.0531,                 1.5974,                 2.0957,              0.0016964,              0.0016964,              0.0016964
                     26,                 2.1027,                 1.4865,                 1.9348,                0.67876,                0.59788,                 0.6563,                0.28875,                 1.9699,                 1.4574,                 2.0085,              0.0016832,              0.0016832,              0.0016832
                     27,                 2.0888,                 1.4719,                 1.9398,                 0.6747,                 0.5365,                0.60051,                 0.2681,                 2.0369,                 1.5915,                 2.0534,                0.00167,                0.00167,                0.00167
                     28,                 2.1181,                 1.4754,                 1.9422,                0.65426,                0.58961,                0.63594,                0.29289,                 1.9487,                 1.4571,                 1.9877,              0.0016568,              0.0016568,              0.0016568
                     29,                 2.0653,                 1.5211,                 1.9232,                0.66548,                0.56673,                0.61902,                0.28265,                 1.9478,                 1.4901,                 1.9907,              0.0016436,              0.0016436,              0.0016436
                     30,                 2.0748,                 1.4425,                 1.8877,                0.71847,                0.61064,                0.68663,                0.30972,                 1.9378,                 1.4042,                 1.9796,              0.0016304,              0.0016304,              0.0016304
                     31,                 2.0937,                 1.4541,                 1.9212,                0.71417,                0.57437,                0.64714,                0.29016,                 1.9672,                 1.4476,                 2.0385,              0.0016172,              0.0016172,              0.0016172
                     32,                 2.0262,                 1.3699,                 1.8393,                0.69296,                0.60847,                0.66049,                0.30259,                 1.9645,                 1.4211,                 1.9788,               0.001604,               0.001604,               0.001604
                     33,                 2.0308,                 1.3748,                 1.8717,                0.74303,                0.60517,                0.68534,                0.31295,                 1.9378,                 1.3685,                 1.9659,              0.0015908,              0.0015908,              0.0015908
                     34,                  2.087,                 1.4219,                 1.8895,                 0.6476,                0.57378,                0.63955,                0.29931,                 1.9423,                 1.4173,                 1.9675,              0.0015776,              0.0015776,              0.0015776
                     35,                 2.0565,                 1.3765,                 1.8648,                0.64209,                0.56379,                0.60647,                  0.282,                 1.9808,                 1.4853,                 2.0121,              0.0015644,              0.0015644,              0.0015644
                     36,                 2.0461,                 1.4813,                 1.8902,                0.69169,                0.60905,                0.66602,                0.30351,                 1.9215,                 1.3999,                 1.9655,              0.0015512,              0.0015512,              0.0015512
                     37,                 2.0392,                 1.6084,                 1.8891,                0.73366,                0.57165,                0.64348,                0.30253,                 1.9635,                 1.4644,                 2.0008,               0.001538,               0.001538,               0.001538
                     38,                  2.032,                 1.3794,                 1.8808,                0.71736,                0.60905,                0.68334,                0.31499,                 1.9043,                 1.3972,                 1.9185,              0.0015248,              0.0015248,              0.0015248
                     39,                 2.0408,                 1.3963,                 1.8846,                0.75203,                0.59847,                0.69631,                0.31658,                 1.9244,                 1.3977,                 1.9601,              0.0015116,              0.0015116,              0.0015116
                     40,                  1.992,                 1.3595,                 1.8475,                0.70379,                 0.5308,                0.62964,                0.29319,                 1.9563,                 1.4547,                 1.9913,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.9893,                 1.3705,                 1.8437,                0.71468,                0.60376,                0.67673,                0.30843,                  1.964,                 1.3815,                 1.9655,              0.0014852,              0.0014852,              0.0014852
                     42,                 2.0191,                 1.3562,                 1.8228,                0.69466,                0.62316,                0.67569,                0.30975,                 1.9358,                 1.3662,                 1.9404,               0.001472,               0.001472,               0.001472
                     43,                 2.0648,                 1.5166,                 1.9058,                0.75161,                0.58881,                0.68428,                0.31485,                 1.9119,                  1.414,                 1.9203,              0.0014588,              0.0014588,              0.0014588
                     44,                 2.0105,                 1.3524,                 1.8506,                0.71844,                0.60317,                  0.684,                0.31566,                 1.9448,                 1.3698,                 1.9668,              0.0014456,              0.0014456,              0.0014456
                     45,                 2.0231,                 1.3359,                 1.8486,                0.64529,                0.59671,                0.64906,                0.30791,                 1.9201,                  1.385,                 1.9392,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.9861,                 1.3216,                 1.8074,                0.73479,                0.57202,                 0.6561,                0.30054,                 1.9469,                 1.4189,                 1.9619,              0.0014192,              0.0014192,              0.0014192
                     47,                  2.018,                 1.3943,                  1.873,                0.74177,                0.58495,                0.67947,                0.31289,                 1.9241,                  1.357,                 1.9568,               0.001406,               0.001406,               0.001406
                     48,                 1.9801,                 1.3148,                 1.8144,                0.70663,                 0.5826,                0.65443,                0.30102,                 1.9366,                 1.3954,                 1.9373,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.9691,                 1.2965,                 1.8192,                0.73087,                0.57154,                 0.6581,                0.30407,                 1.9105,                 1.4158,                 1.9277,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.9859,                 1.3222,                 1.7922,                0.72623,                0.59572,                0.69416,                 0.3248,                 1.9006,                 1.3342,                 1.9143,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.9682,                 1.2968,                  1.817,                0.71881,                0.54968,                  0.641,                 0.2967,                 1.9709,                 1.5164,                 1.9838,              0.0013532,              0.0013532,              0.0013532
                     52,                 1.9893,                 1.3078,                 1.8183,                0.74969,                 0.5873,                 0.6831,                0.31556,                 1.9192,                 1.3887,                  1.922,                0.00134,                0.00134,                0.00134
                     53,                 1.9819,                 1.3067,                 1.8078,                0.73691,                0.57731,                0.65966,                0.31349,                 1.9283,                 1.4071,                 1.9253,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.9517,                 1.2933,                 1.8077,                0.77151,                0.59965,                0.69715,                0.33052,                 1.8712,                 1.3214,                 1.9048,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.9777,                 1.2675,                  1.793,                0.74713,                0.58907,                0.67974,                0.31672,                 1.9321,                 1.3739,                 1.9185,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.9736,                  1.283,                 1.8067,                0.69737,                0.62199,                 0.6677,                0.31508,                 1.9209,                 1.3482,                 1.9266,              0.0012872,              0.0012872,              0.0012872
                     57,                  1.927,                 1.2782,                 1.7924,                0.68505,                0.58182,                 0.6601,                 0.3046,                 1.9294,                  1.385,                 1.9415,               0.001274,               0.001274,               0.001274
                     58,                 1.9611,                 1.2732,                 1.7651,                0.78349,                0.61905,                0.71483,                0.33008,                 1.9079,                 1.3043,                 1.9095,              0.0012608,              0.0012608,              0.0012608
                     59,                  1.955,                 1.2985,                 1.7873,                0.72055,                0.60027,                0.65586,                0.31607,                 1.9264,                 1.3667,                 1.9296,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.9204,                 1.2712,                 1.8053,                0.68835,                0.59989,                0.67518,                0.31324,                 1.9127,                 1.3634,                 1.9005,              0.0012344,              0.0012344,              0.0012344
                     61,                 1.9589,                 1.2595,                  1.753,                0.77426,                0.62306,                0.70623,                0.33143,                 1.8947,                 1.2949,                 1.9081,              0.0012212,              0.0012212,              0.0012212
                     62,                 1.9498,                 1.5296,                 1.7944,                0.76954,                0.60024,                0.68677,                0.31937,                 1.9004,                 1.3576,                 1.9068,               0.001208,               0.001208,               0.001208
                     63,                 1.9884,                 1.2809,                 1.8032,                0.73212,                0.62551,                0.68873,                0.32523,                 1.8885,                 1.3255,                 1.9167,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.8948,                 1.6838,                 1.7127,                0.75006,                0.61493,                0.69786,                0.32631,                 1.9369,                 1.3181,                 1.9079,              0.0011816,              0.0011816,              0.0011816
                     65,                 1.9192,                 1.2325,                 1.7614,                0.75753,                0.59142,                0.68689,                  0.318,                  1.905,                 1.3543,                 1.9143,              0.0011684,              0.0011684,              0.0011684
                     66,                 1.9216,                 1.2482,                 1.7955,                0.73921,                 0.6261,                0.69551,                0.32473,                 1.9069,                  1.327,                 1.9049,              0.0011552,              0.0011552,              0.0011552
                     67,                 1.9678,                 1.2798,                 1.8004,                0.78049,                0.61552,                0.70463,                 0.3228,                 1.9283,                 1.2923,                 1.9018,               0.001142,               0.001142,               0.001142
                     68,                 1.9352,                 1.2463,                 1.7765,                0.73846,                0.59094,                0.66874,                0.31712,                 1.8584,                 1.3734,                 1.8872,              0.0011288,              0.0011288,              0.0011288
                     69,                 1.9326,                 1.2537,                 1.7593,                 0.7806,                0.61023,                 0.6938,                0.32888,                 1.8993,                 1.3239,                 1.9014,              0.0011156,              0.0011156,              0.0011156
                     70,                 1.9187,                 1.2269,                 1.7522,                  0.757,                0.60376,                0.68592,                0.32208,                 1.9291,                 1.3547,                  1.916,              0.0011024,              0.0011024,              0.0011024
                     71,                 1.9576,                 1.2499,                 1.7566,                0.69272,                0.58142,                0.65667,                0.31146,                 1.9201,                 1.3586,                 1.9147,              0.0010892,              0.0010892,              0.0010892
                     72,                 1.9131,                 1.2358,                 1.7089,                0.79178,                0.59965,                 0.6948,                0.32723,                 1.9355,                 1.3798,                 1.9113,               0.001076,               0.001076,               0.001076
                     73,                 1.9267,                  1.246,                 1.7632,                0.76004,                0.62316,                0.70465,                0.32999,                 1.8965,                 1.3096,                  1.889,              0.0010628,              0.0010628,              0.0010628
                     74,                 1.9597,                 1.2454,                 1.7801,                0.75422,                 0.6278,                0.70671,                0.32621,                 1.9306,                 1.3052,                 1.9178,              0.0010496,              0.0010496,              0.0010496
                     75,                 1.9349,                 1.2228,                 1.7545,                0.75724,                 0.6167,                0.69402,                0.32536,                 1.8946,                  1.335,                 1.8985,              0.0010364,              0.0010364,              0.0010364
                     76,                 1.8637,                 1.2077,                 1.7274,                0.78889,                0.62375,                0.72198,                0.33521,                 1.9341,                  1.274,                 1.9034,              0.0010232,              0.0010232,              0.0010232
                     77,                 1.8989,                 1.1815,                 1.7512,                0.75594,                 0.5754,                0.67399,                0.31367,                 1.9368,                 1.4247,                  1.927,                0.00101,                0.00101,                0.00101
                     78,                 1.9097,                 1.2011,                 1.7248,                0.76411,                0.58652,                0.68501,                0.32453,                 1.9134,                 1.3788,                 1.8925,              0.0009968,              0.0009968,              0.0009968
                     79,                 1.8806,                 1.1707,                 1.7164,                0.75894,                0.61264,                 0.6971,                 0.3277,                 1.9158,                 1.2983,                 1.9193,              0.0009836,              0.0009836,              0.0009836
                     80,                 1.9499,                 1.2079,                 1.7899,                0.78604,                0.60691,                0.70006,                0.33107,                 1.9372,                 1.3236,                 1.9002,              0.0009704,              0.0009704,              0.0009704
                     81,                 1.8612,                 1.2015,                 1.7227,                0.75583,                0.59259,                0.68633,                 0.3187,                 1.9291,                 1.3368,                 1.9128,              0.0009572,              0.0009572,              0.0009572
                     82,                 1.9145,                 1.1894,                  1.749,                0.76339,                0.60847,                0.68748,                0.32239,                 1.9348,                 1.3069,                 1.9138,               0.000944,               0.000944,               0.000944
                     83,                 1.9053,                 1.1858,                 1.7364,                0.78262,                0.60729,                 0.7028,                0.32649,                 1.9386,                 1.2778,                 1.9323,              0.0009308,              0.0009308,              0.0009308
                     84,                 1.8421,                 1.1303,                 1.7066,                0.74917,                 0.5726,                0.66433,                0.31388,                 1.9463,                 1.4128,                  1.927,              0.0009176,              0.0009176,              0.0009176
                     85,                 1.8582,                 1.1773,                 1.6945,                0.75131,                0.61806,                0.70395,                0.32742,                 1.8798,                 1.2976,                  1.885,              0.0009044,              0.0009044,              0.0009044
                     86,                 1.8877,                 1.1623,                 1.7325,                0.76988,                0.65079,                0.71194,                0.33231,                 1.9074,                 1.2726,                 1.8881,              0.0008912,              0.0008912,              0.0008912
                     87,                 1.8722,                 1.1778,                 1.7265,                0.80229,                 0.6131,                0.71144,                0.33135,                  1.906,                  1.315,                 1.8975,               0.000878,               0.000878,               0.000878
                     88,                 1.9124,                 1.2087,                 1.7352,                0.75603,                0.60666,                0.68733,                0.32298,                 1.9203,                 1.2911,                 1.9074,              0.0008648,              0.0008648,              0.0008648
                     89,                 1.8746,                 1.1767,                 1.7353,                0.76791,                0.62845,                0.70254,                0.32826,                 1.9405,                 1.2977,                  1.911,              0.0008516,              0.0008516,              0.0008516
                     90,                 1.8568,                 1.1406,                 1.7104,                0.75861,                0.61728,                0.69764,                0.32689,                 1.9554,                 1.2874,                 1.9123,              0.0008384,              0.0008384,              0.0008384
                     91,                 1.8905,                 1.1668,                 1.7114,                0.78077,                0.63021,                0.71967,                0.32888,                 1.9376,                 1.2552,                 1.9154,              0.0008252,              0.0008252,              0.0008252
